Nom,postal,INS
Aaigem,9420,41001
Aalbeke,8511,34001
AALST,9300,41002
Aalst (Limburg),3800,71001
AALTER,9880,44001
AARSCHOT,3200,24001
Aarsele,8700,37001
AARTSELAAR,2630,11001
Abée,4557,61001
Abolens,4280,64001
Achel,3930,72001
Achêne,5590,91001
Achet,5362,91002
Acosse,4219,64002
Acoz,6280,52001
Adegem,9991,43001
Adinkerke,8660,38001
AFFLIGEM,1790,23105
Afsnee,9051,44002
Agimont,5544,93001
Aineffe,4317,61002
Aische-en-Refail,5310,92001
Aiseau,6250,52002
AISEAU-PRESLES,6250,52074
Aisemont,5070,92002
ALKEN,3570,73001
Alle,5550,91003
Alleur,4432,62001
Alsemberg,1652,23001
ALVERINGEM,8690,38002
AMAY,4540,61003
Amberloup,6680,82001
Ambly,6953,91004
Ambresin,4219,64003
AMEL,4770,63001
Amonines,6997,83001
Amougies,7750,57001
Ampsin,4540,61004
ANDENNE,5300,92003
ANDERLECHT,1070,21001
ANDERLUES,6150,56001
Andrimont,4821,63002
Angleur,4031,62002
Angre,7387,53001
Angreau,7387,53002
ANHÉE,5537,91005
Anlier,6721,84001
Anloy,6890,84002
Annevoie-Rouillon,5537,91006
ANS,4430,62003
Anseremme,5500,91007
Anserœul,7750,57002
Anthée,5520,93002
Antheit,4520,61005
Anthisnes,4160,62004
ANTHISNES ,4160,61079
ANTOING,7640,57003
ANTWERPEN,2000,11002
Antwerpen 1,2000,
Antwerpen 2,2020,
Antwerpen 3,2030,
Antwerpen 4,2040,
Antwerpen 5,2050,
Antwerpen 6,2060,
Anvaing,7910,51001
ANZEGEM,8570,34002
Appels,9200,42001
Appelterre-Eichem,9400,41003
Arbre (-lez-Ath),7811,51002
Arbre (-lez-Fosses-la-Ville),5170,92004
Arbrefontaine,4990,82002
Arc-Ainières,7910,51003
Archennes,1390,25001
Ardooie,8850,36001
ARDOOIE ,8850,37020
ARENDONK,2370,13001
Argenteau,4601,62005
ARLON,6700,81001
Arquennes,7181,52003
Arsimont,5060,92005
Arville,6870,84003
AS,3665,71002
Aspelare,9404,41004
Asper,9890,44003
Asquillies,7040,53003
ASSE,1730,23002
Assebroek,8310,31002
ASSENEDE,9960,43002
Assenois,6860,84004
Assent,3460,24002
ASSESSE,5330,92006
Astene,9800,44004
ATH,7800,51004
Athis,7387,53004
Athus,6791,81002
Attenhoven,3404,24003
Attenrode,3384,24004
ATTERT,6717,81003
AUBANGE,6790,81004
Aubechies,7972,51006
AUBEL,4880,63003
Aublain,5660,93003
Auby-sur-Semois,6880,84005
AUDERGHEM,1160,21002
Audregnies,7382,53005
Aulnois,7040,53006
Autelbas,6706,81005
Auvelais,5060,92007
Ave-et-Auffe,5580,91008
Avekapelle,8630,38003
AVELGEM,8580,34003
Avennes,4260,64004
Averbode,3271,24005
Avernas-le-Bauduin,4280,64005
Avin,4280,64006
AWANS,4340,62006
Awenne,6870,84006
Awirs,4400,62007
Aye,6900,83002
Ayeneux,4630,62008
AYWAILLE,4920,62009
Baaigem,9890,44005
Baal,3128,24006
Baardegem,9310,41005
BAARLE-HERTOG,2387,13002
Baasrode,9200,42002
Bachte-Maria-Leerne,9800,44006
BAELEN,4837,63004
Bagimont,5550,84007
Baileux,6464,56002
Bailièvre,6460,56003
Baillamont,5555,91009
Bailleul,7730,57004
Baillonville,5377,91010
Baisieux,7380,53008
Baisy-Thy,1470,25003
Balegem,9860,44007
BALEN,2490,13003
Bambrugge,9420,41006
Bande,6951,83003
Barbençon,6500,56004
Barchon,4671,62010
Baronville,5570,91011
Barry,7534,57005
Barvaux (-sur-Ourthe),6940,83004
Barvaux-Condroz,5370,91012
Basècles,7971,51007
Bas-Oha,4520,61006
Basse-Bodeux,4983,63005
BASSENGE,4690,62011
Basse-Sambre,5060,92137
Bassevelde,9968,43003
Bassilly,7830,55001
BASTOGNE,6600,82003
Bas-Warneton,7784,54001
Batsheers,3870,73002
Battice,4651,63006
Battignies,7130,56090
Baudour,7331,53009
Bauffe,7870,53010
Baugnies,7604,57006
Baulers,1401,25004
Bavegem,9520,41007
Bavikhove,8531,34004
Bazel,9150,46001
Beaufays,4052,62012
BEAUMONT,6500,56005
BEAURAING,5570,91013
Beausaint,6980,83005
BEAUVECHAIN,1320,25005
Beauvoorde,8630,38030
Beauwelz,6594,56006
Béclers,7532,57007
Beek,3960,72002
Beerlegem,9630,45001
BEERNEM,8730,31003
BEERSE,2340,13004
BEERSEL,1650,23003
Beerst,8600,32001
Beert,1673,23004
Beervelde,9080,44008
Beerzel,2580,12001
Beez,5000,92009
Beffe,6987,83006
BEGIJNENDIJK,3130,24007
Beho,6672,82004
Beigem,1852,23005
Bekegem,8480,35001
Bekkerzeel,1730,23006
BEKKEVOORT,3460,24008
Belgrade,5001,92010
Bellaire,4610,62013
Bellecourt,7170,52004
Bellefontaine (Luxembourg),6730,85001
Bellefontaine (Namur),5555,91014
Bellegem,8510,34005
Bellem,9881,44009
Bellevaux,6834,84008
Bellevaux-Ligneuville,4960,63007
Bellingen,1674,23007
BELŒIL,7970,51008
Belsele,9111,46002
Ben-Ahin,4500,61007
Bende,6941,83007
Berbroek,3540,71003
Berchem (Antwerpen),2600,11003
Berchem (Oost-Vlaanderen),9690,45002
BERCHEM-SAINTE-AGATHE,1082,21003
Berendrecht,2040,11058
Berg (Limburg),3700,73003
Berg (Vlaams-Brabant),1910,23008
Bergilers,4360,64007
BERINGEN,3580,71004
BERLAAR,2590,12002
BERLARE,9290,42003
Berlingen,3830,73004
BERLOZ,4257,64008
Berneau,4607,62014
BERNISSART,7320,51009
Bersillies-l'Abbaye,6560,56007
BERTEM,3060,24009
BERTOGNE,6687,82005
BERTRIX,6880,84009
Berzée,5651,93004
Beselare,8980,33001
Betekom,3130,24010
Bettincourt,4300,64010
Beuzet,5030,92011
Bevel,2560,12003
BEVER,1547,23009
Bévercé,4960,63008
Bevere,9700,45003
Beveren-aan-den-Ijzer,8691,38004
Beveren-bij-Roeselare,8800,36002
Beveren-op-de-Leie,8791,34006
BEVEREN-WAAS,9120,46003
Beverlo,3581,71005
Beverst,3740,73005
BEYNE-HEUSAY,4610,62015
Bienne-lez-Happart,6543,56008
BIERBEEK,3360,24011
Biercée,6533,56009
Bierges,1301,25006
Bierghes,1430,25007
Bierset,4460,62016
Bierwart,5380,92012
Biesme,5640,92013
Biesmerée,5640,93005
Biesme-sous-Thuin,6531,56010
BIÈVRE,5555,91015
Biez,1390,25008
Bihain,6690,82006
Bikschote,8920,33002
Bilstain,4831,63009
BILZEN,3740,73006
BINCHE,7130,56011
Binderveld,3850,71006
Binkom,3211,24012
Bioul,5537,91016
Bissegem,8501,34007
Blaasveld,2830,12004
Blaimont,5542,91017
Blandain,7522,57008
Blanden,3052,24013
BLANKENBERGE,8370,31004
Blaregnies,7040,53011
Blaton,7321,57009
Blaugies,7370,53012
BLEGNY,4670,62119
BLÉGNY,4670,62119
Bléharies,7620,57010
Blehen,4280,64011
Bleid,6760,85002
Bleret,4300,64012
Blicquy,7903,51010
BOCHOLT,3950,72003
BOECHOUT,2530,11004
Boekhout,3890,71007
Boekhoute,9961,43004
Boëlhe,4250,64013
Boezinge,8904,33003
Bogaarden,1670,23010
Bohan,5550,91018
Boignée,5140,52005
Boirs,4690,62017
Bois-de-Lessines,7866,55002
Bois-de-Villers,5170,92014
Bois-d'Haine,7170,52006
Bois-et-Borsu,4560,61008
Bolinne,5310,92015
Bolland,4653,63010
Bomal,1367,25009
Bomal-sur-Ourthe,6941,83008
Bombaye,4607,62018
Bommershoven,3840,73007
Boncelles,4100,62019
Boneffe,5310,92016
BONHEIDEN,2820,12005
Boninne,5021,92017
Bonlez,1325,25010
Bonnert,6700,81006
Bonneville,5300,92018
Bon-Secours,7603,57011
Bonsin,5377,91019
Booischot,2221,12006
Booitshoeke,8630,38005
BOOM,2850,11005
Boorsem,3631,73008
BOORTMEERBEEK,3190,24014
Borchtlombeek,1761,23011
Borgerhout,2140,11006
BORGLOON,3840,73009
Borlez,4317,61009
Borlo,3891,71008
Borlon,6941,83009
BORNEM,2880,12007
Bornival,1404,25011
BORSBEEK,2150,11007
Borsbeke,9552,41008
Bossière,5032,92019
Bossuit,8583,34008
Bossut-Gottechain,1390,25012
Bost,3300,24015
Bothey,5032,92020
Bottelare,9820,44010
Bouffioulx,6200,52007
Bouge,5004,92021
Bougnies,7040,53013
BOUILLON,6830,84010
Bourlers,6464,56012
Bourseigne-Neuve,5575,91020
Bourseigne-Vieille,5575,91021
Boussoit,7110,55003
BOUSSU,7300,53014
Boussu-en-Fagne,5660,93006
Boussu-lez-Walcourt,6440,56013
Bousval,1470,25013
BOUTERSEM,3370,24016
Bouvignes-sur-Meuse,5500,91022
Bouvignies,7803,51011
Bouwel,2288,13005
Bovekerke,8680,32002
Bovelingen,3870,73103
Bovenistier,4300,64014
Bovesse,5081,92022
Bovigny,6671,82007
Bra,4990,63011
Braffe,7604,57012
Braibant,5590,91023
BRAINE-L'ALLEUD,1420,25014
BRAINE-LE-CHÂTEAU,1440,25015
BRAINE-LE-COMTE,7090,55004
BRAIVES,4260,64015
BRAKEL,9660,45059
Branchon,5310,92023
Bras,6800,84011
Brasménil,7604,57013
BRASSCHAAT,2930,11008
Bray,7130,55005
BRECHT,2960,11009
BREDENE,8450,35002
BREE,3960,72004
Breendonk,2870,12008
Bressoux,4020,62020
Brielen,8900,33004
Broechem,2520,11010
Broekom,3840,73010
BRUGELETTE,7940,51012
BRUGGE,8000,31005
Brûly,5660,93007
Brûly-de-Pesche,5660,93008
BRUNEHAUT,7620,57093
Brussegem,1785,23012
Brustem,3800,71009
