,,,,,,,,,
nummer_instelling,naam instelling,adres,fusiegemeente,postnummer,Gewoon kleuteronderwijs,Gewoon lager onderwijs,Buitengewoon kleuteronderwijs,Buitengewoon lager onderwijs,Totaal
18,GO! basisschool De Kleurdoos Brussel,Moutstraat 24   ,Brussel,1000,165,153,,,318
26,GO! basisschool 't Plant'zoentje Laken,Karel Bogaerdstraat 4    ,Brussel,1020,173,255,,,428
34,GO! basisschool Schaarbeek Hendrik Conscience,Gustave Latinislaan 94   ,Schaarbeek,1030,130,130,,,260
42,GO! basisschool Atheneum Etterbeek,Edmond Mesenslaan 2    ,Etterbeek,1040,185,344,,,529
59,GO! tehuis voor foorreizigers- en schipperskinderen Etterbeek,Pater Eudore Devroyestraat 29   ,Etterbeek,1040,6,63,,,69
67,GO! basisschool De Wimpel Elsene,Cansstraat 14   ,Elsene,1050,178,128,,,306
75,GO! basisschool De Bron Sint-gillis,Bronstraat 86_A ,Sint-Gillis,1060,286,180,,,466
83,GO! lagere school De Toverfluit Sint-Jans-Molenbeek,Toverfluitstraat 21   ,Sint-Jans-Molenbeek,1080,,183,,,183
91,GO! basisschool De Gouden Regen Ganshoren,Frans Vervaeckstraat 47   ,Ganshoren,1083,194,230,,,424
109,GO! basisschool Unescoschool Koekelberg,Kasteellaan 65   ,Koekelberg,1081,202,252,,,454
117,GO! basisschool Zavelberg Sint-Agatha-Berchem,Oscar Ruelensplein 13   ,Sint-Agatha-Berchem,1082,92,120,,,212
125,GO! basisschool Kasteel Beiaardschool Neder-over-Heembeek,Kruipweg 23   ,Brussel,1120,127,122,,,249
133,GO! basisschool De Weg - wijzer Evere,Sint-Vincentiusstraat 29   ,Evere,1140,145,170,,,315
141,GO! basisschool De Zonnewijzer Sint-Pieters-Woluwe,Grote Prijzenlaan 59   ,Sint-Pieters-Woluwe,1150,96,115,,,211
158,GO! basisschool De Stadsmus Oudergem,Henri de Brouckèrelaan 16   ,Oudergem,1160,201,93,,,294
166,GO! basisschool De Bloeiende Kers Watermaal-Bosvoorde,Louis Vander Swaelmenlaan 25   ,Watermaal-Bosvoorde,1170,102,116,,,218
174,GO! basisschool Floreal Ukkel,Floréallaan 14   ,Ukkel,1180,105,143,,,248
182,GO! basisschool Floralia Sint-Lambrechts-Woluwe,Floraliënstraat 29   ,Sint-Lambrechts-Woluwe,1200,157,173,,,330
191,GO! basisschool De Leerboom Halle,Auguste Demaeghtlaan 40   ,Halle,1500,149,236,,,385
208,GO! basisschool Zilverberk Halle,Pastoor Bernaertsstraat 28   ,Halle,1500,280,439,,,719
216,GO! basisschool Markevallei Herne,Edingsesteenweg 9_A  ,Herne,1540,84,197,,,281
232,GO! basisschool De Groene Parel Sint-Pieters-Leeuw,Albert Van Cotthemstraat 110  ,Sint-Pieters-Leeuw,1600,94,136,,,230
